                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4743,                 3.1569,                 1.5871,                0.00241,                0.50758,                0.49754,                0.47902,                0.70119,                 3.0362,                0.96987,                 0.0712,                 0.0032,                 0.0032
                      1,                0.58906,                 1.5996,                0.94379,                0.99341,                0.59188,                0.92299,                0.71369,                0.64119,                 1.4882,                0.94921,               0.041494,              0.0064936,              0.0064936
                      2,                0.65136,                 1.0029,                0.92888,                0.98956,                0.93993,                0.97636,                0.69303,                 0.7718,                0.93425,                 1.1369,               0.011781,              0.0097806,              0.0097806
                      3,                0.72635,                0.91702,                0.94868,                0.99344,                0.85234,                0.97451,                0.69159,                0.78287,                 1.1717,                0.99732,              0.0099703,              0.0099703,              0.0099703
                      4,                 0.6711,                0.89268,                0.95522,                0.99313,                0.96212,                0.97103,                0.72819,                0.71992,                0.76892,                0.98707,              0.0099703,              0.0099703,              0.0099703
                      5,                0.64865,                0.84769,                0.95832,                  0.986,                0.97602,                0.97863,                0.68483,                0.92308,                0.91571,                 1.0616,              0.0099604,              0.0099604,              0.0099604
                      6,                0.64084,                0.83324,                0.94949,                0.99371,                0.96116,                0.97599,                0.77046,                0.65256,                0.81441,                0.94035,              0.0099505,              0.0099505,              0.0099505
                      7,                0.61985,                0.81025,                0.94604,                0.99595,                 0.9697,                 0.9828,                0.74435,                0.62878,                0.84567,                0.92763,              0.0099406,              0.0099406,              0.0099406
                      8,                0.60566,                0.74936,                0.93788,                0.98627,                0.97727,                0.98788,                0.71506,                0.73216,                  0.739,                0.95124,              0.0099307,              0.0099307,              0.0099307
                      9,                  0.585,                0.71536,                0.92657,                0.98521,                0.98485,                0.99291,                 0.7876,                 0.6091,                0.76815,                  1.002,              0.0099208,              0.0099208,              0.0099208
                     10,                0.60674,                0.70732,                0.92892,                0.98852,                0.99229,                0.99318,                0.79121,                0.64958,                0.75476,                0.94624,              0.0099109,              0.0099109,              0.0099109
                     11,                0.57162,                0.70587,                0.94393,                0.98588,                0.99242,                0.99216,                0.79939,                0.55619,                0.68457,                0.93264,               0.009901,               0.009901,               0.009901
                     12,                0.53795,                0.67826,                0.92617,                0.99512,                0.99242,                0.99413,                 0.8006,                0.54296,                0.57176,                0.91905,              0.0098911,              0.0098911,              0.0098911
                     13,                0.54164,                0.62253,                0.92971,                0.99416,                0.99104,                0.99446,                0.79348,                0.58418,                0.58405,                0.93577,              0.0098812,              0.0098812,              0.0098812
                     14,                0.53863,                0.63066,                0.92729,                0.99235,                0.98485,                0.99369,                0.81512,                0.54197,                0.60659,                0.92006,              0.0098713,              0.0098713,              0.0098713
                     15,                0.52772,                0.61686,                0.91823,                0.99576,                0.98485,                0.99262,                0.82541,                0.54385,                0.57389,                0.91264,              0.0098614,              0.0098614,              0.0098614
                     16,                 0.5587,                0.62036,                0.93248,                 0.9866,                0.99242,                0.99055,                0.80202,                0.57159,                0.58298,                0.91687,              0.0098515,              0.0098515,              0.0098515
                     17,                0.53833,                0.59348,                0.93074,                0.99571,                0.99242,                0.99132,                0.80267,                0.54808,                0.48827,                 0.9197,              0.0098416,              0.0098416,              0.0098416
                     18,                 0.5205,                0.59607,                0.92489,                0.98816,                0.99242,                0.99413,                0.78031,                 0.6503,                0.62138,                0.95349,              0.0098317,              0.0098317,              0.0098317
                     19,                0.51898,                0.56544,                0.91575,                0.99679,                0.99242,                0.99458,                0.76255,                0.64266,                0.56893,                0.94133,              0.0098218,              0.0098218,              0.0098218
                     20,                0.50224,                0.56739,                0.91704,                0.99243,                0.99242,                0.99452,                 0.7832,                0.62239,                 0.5586,                0.94018,              0.0098119,              0.0098119,              0.0098119
                     21,                0.52393,                0.55163,                0.91744,                0.99595,                0.98455,                0.99237,                0.76355,                0.65127,                0.52878,                0.95892,               0.009802,               0.009802,               0.009802
                     22,                0.52418,                0.53795,                0.92057,                0.99671,                0.99242,                0.99493,                0.79096,                0.60149,                0.52765,                0.94113,              0.0097921,              0.0097921,              0.0097921
                     23,                 0.4852,                0.55103,                0.91571,                0.99638,                      1,                  0.995,                 0.8224,                0.55334,                0.48779,                0.91274,              0.0097822,              0.0097822,              0.0097822
                     24,                0.48226,                0.52912,                0.91013,                0.99654,                0.99242,                0.99493,                0.82938,                0.56981,                0.58545,                0.92287,              0.0097723,              0.0097723,              0.0097723
                     25,                0.51761,                0.56159,                0.92176,                0.98882,                0.98485,                0.99456,                0.81956,                0.59829,                0.48887,                0.94245,              0.0097624,              0.0097624,              0.0097624
                     26,                0.48572,                0.52786,                0.91151,                0.99607,                0.99242,                0.99434,                0.83872,                0.56876,                0.51866,                0.93024,              0.0097525,              0.0097525,              0.0097525
                     27,                0.50105,                0.56301,                0.91792,                0.99646,                0.98433,                0.99082,                0.83321,                0.52354,                0.44558,                0.91963,              0.0097426,              0.0097426,              0.0097426
                     28,                 0.4805,                0.51269,                0.91096,                0.99623,                0.99242,                 0.9927,                0.82529,                0.52735,                0.44954,                0.91462,              0.0097327,              0.0097327,              0.0097327
                     29,                0.47016,                0.50517,                0.91816,                0.99475,                0.99133,                0.99465,                0.81331,                0.48864,                0.44595,                0.90211,              0.0097228,              0.0097228,              0.0097228
                     30,                0.47167,                0.51406,                0.92243,                 0.9961,                0.99945,                  0.995,                0.79224,                0.59316,                0.47332,                0.91084,              0.0097129,              0.0097129,              0.0097129
                     31,                0.46898,                0.51712,                0.90984,                0.98453,                0.98485,                0.99391,                0.82506,                 0.5419,                0.54248,                0.89691,               0.009703,               0.009703,               0.009703
                     32,                0.47227,                0.48684,                0.89898,                0.99444,                0.98485,                0.99427,                0.81785,                0.50641,                0.46715,                0.89951,              0.0096931,              0.0096931,              0.0096931
                     33,                0.48015,                0.50961,                0.90695,                0.99752,                0.98265,                 0.9947,                0.83561,                0.54734,                0.50415,                 0.9049,              0.0096832,              0.0096832,              0.0096832
                     34,                0.47141,                0.50634,                0.90264,                0.99461,                0.99242,                0.99004,                0.82424,                0.50726,                0.47079,                0.90034,              0.0096733,              0.0096733,              0.0096733
                     35,                0.48258,                0.48852,                0.90314,                0.99677,                0.99242,                0.99182,                0.79588,                0.58149,                0.48473,                0.91567,              0.0096634,              0.0096634,              0.0096634
